Sess,ID,Message,Class,A,B
1,1,Please choose In so we can get paid more.,E,Out,DR
1,2,"Choose in, I will roll dice, you are 5/6 likely to get 2,3,4,5, or 6 -> $12. This way both of us will win something.",P,In,DR
1,3,"If you stay in, the chances of the die coming up other than 1 are 5 in 6 - pretty good. Otherwise, we'd both be stuck at $5. (If you opt out)",E,In,DR
1,4,"I have to do laundry tonight and I really don't want to do it! But I don't have any clean underwear left and I don't want to go commando tommorrow. We'll see what I decide tonight. This man acts funny doesn't he? But he seems cool, he's quite a character. All this mystery is kinda cool.",E,Out,R
1,5,"If you will choose ""In"", I will choose to roll. This way, we both have an opportunity to make more than $5!",P,In,R
1,6,,N,Out,R
1,7,"If I roll a 2-6 (you'll know when you receive the $, you will give $5.00 to a stranger. [[[then there is a line, under which is written ""Sign here if you are so kind]]] Thanks. You'll still be gaining more than if I had chosen Don't roll.",P,In,R
1,8,"The fairest thing to do is if you opt ""IN"". Then I will proceed to choose ""roll."" That way you and I have 5/6 chances to make money for the both of us. That's much better than just making $5 each. Increases both our chances. Thanks.",P,In,R
1,9,Choose In and I will Roll You have my word.,P,In,DR
1,10,"Good luck. I do not know what I'm going to do, so I have no hints on how to advise you on choosing ""in"" or ""out."" Though it would be beneficial for me to pick don't roll and hope you pick ""in"", I also like to give you a chance to gain some cash. Who knows?",E,In,R
1,11,"What's up? Good luck on your decision. Choose whatever. If you choose ""out,"" you get only $10 total. If you choose ""In,"" you can get $17 total instead of only $10. 7 bucks is a lot of money!",E,In,DR
1,12,Hey. OK I think that the best way for both of us to make a profit is for you to choose IN and for me to roll. That way we both make some money. There's no point in me not rolling because that would give you and me less profit. So I'm a roller if you're in.,P,In,DR
1,13,take a risk,E,In,R
1,14,If you choose IN the first round and then I will choose Don't Roll at first. I will get $14 but then after that I will choose roll each time after the 1st role. Chances are most likely you will get $12 and I will get only $10. I will the only take 7 rolls for you to get even with me. That way we both leave with a good amount of money. Hope you have a great evening and that this works out for both of us.,E,Out,R
1,15,"If you choose in I'll roll. Why? If you choose out, we walk out with $10 each. If you choose IN & I choose IN then both of us coin. So it's a compromise. By agreeing to this I guarantee myself more $ than risking you choose out. So if you choose out I get $10 ($5 diff.) if you choose in I get $15 vs. $19 ($4 diff.). that's why.",P,In,R
1,16,,N,Out,DR
1,17,,N,Out,R
1,18,"Choose ""In"" so we can both make some $$ What are the chances me rolling a 1? I'll try my best.",P,In,R
2,1,I'm going to roll.,P,Out,R
2,2,I'll choose roll.,P,In,R
2,3,I will choose roll.,P,In,DR
2,4,I'm going to choose roll.,P,In,R
2,5,"choose in, & I'll roll.",P,In,R
2,6,You can have the 2 extra dollars. I'll be nice and choose to roll.,P,In,R
2,7,,N,In,R
2,8,"Hey, choose in and I will roll. You have to like your odds that I will roll a 2,3,4,5, or 6. 5/6 odds ain't bad.",P,In,DR
2,9,"If you choose ""In"", I'll choose Roll and you've got a 5/6 chance of getting $12.",P,In,R
2,10,"Stay IN, I really need the money.",E,In,R
2,11,"If you choose IN, and I roll, the chances of our getting the most $ are very high. The likelyhood of my rolling a 1 is small compared to the chances of rolling a 2-6. So we both get cash.",E,Out,DR
2,12,"Hi, well I'm going to Roll so you have at least a shot for more money. I hope it works out.",P,In,R
3,1,Hopefully I'll make a lucky role.,E,Out,DR
3,2,It's much more likely that I'll roll a 2-6 and thus get more money then if we don't roll or choose out. I promise that I won't cheat you and that I'll choose to roll.,P,In,R
3,3,"Tee hee, this is kinda Twilight Zone - ism; Why not ""go for it"", eh? I hope you have a lovely evening as well.",E,Out,R
3,4,"Hello fair stranger, anonymous partner ... Choose whatever you want. Far be it from me to influence your decision, but I think you should choose ""in"" and I should choose ""roll"" and we should take the chance at both earning as much as we can. 5 chances out of 6 say it'll work, and I'm totally broke, looking to rake in stray cash however I can. I feel the luck in the air. I don't really have much else to say. Hope you're doing well, whoever you are. Yes. That's all. Random note from random human",E,In,R
3,5,Both of 'us' can earn.,E,In,DR
3,6,"Ok. You're probably thinking, lets chose out, and I'll at least get 5 bucks. But... Chose 'IN', and I WILL chose to roll. The probability that I will roll a 2,3,4,5, or 6 is pretty high, and I think worthy of trying for. (I have no way of assuring you that I will roll ... but, its probably worth going for, you'll get $12 for finding out, where I could get $10.) x. I WILL ROLL",P,In,R
3,7,"I will roll, so if you stay in, you've got a 5/6 chance of getting $12. If you don't mind the risk, if you stay in we'll both probably get more than $5 ... Pretty cool to get money, eh? I'm kinda bored. Hope you've had a great day so far! My country Tis of Thee Sweet Land of Liberty Of Thee I sing. Land where my fathers died Land of the Pilgrim's Pride On every mountainside Let freedom ring. George W. Bush wants you to go in! Bin Laden says ""out""!",P,In,R
3,8,"Lets together get the most $ out of this that we can. - you 12 0 0 5 me 10 10 14 5 I promise not to do this one. - I promise I will choose to roll. You can have the extra $2 bucks. It's good karma. Thanks. I will choose ROLL in any case considering I will get the same amount no matter what you choose, as long as you choose IN. please excuse the awful handwriting. I'm trying",P,In,DR
3,9,"I'm choosing ROLL, which gives you a chance to get $12 instead of $5, so stay. It's a risk, but you could end up getting a lot more.",P,In,R
3,10,If you choose in then I'm going to choose roll. This gives you a 5/6 chance of getting 12 dollars. That is 7 more than if you choose out. Since the money is free anyway - why not believe me. I'm don't lie - I promise I will choose roll.,P,In,R
3,11,If you choose IN you have the best opportunity to make the most money. You have a 5/7 chance of making more money! So IN would be your best bet. Cheers.,E,In,DR
3,12,Choose IN. I promise I'll ROLL.,P,Out,R
