Treatment,Period,Group,BoxNum,Round,Future_coalition_P,Future_coalition_V1,Future_coalition_V2,Compete_P,Compete_V1,Compete_V2,All_way_split_P,All_way_split_V1,All_way_split_V2,MWC_P,MWC_V1,MWC_V2,MaxRounds,identity,Chat
2,1,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""I'll let you take a larger cut if you dont pay the other guy""
[P] ""ok""
[V1] ""me- 13 you -17"""
2,1,1,3,1,,,,,,,,,,,,,1,public,"[V2] ""Equal sharing?""
[V1] ""yea im down"""
2,2,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""want to split 15$ among the two of us?""
[V1] ""lol""
[P] ""16 to me, 14 you and a deal""
[V1] ""sure deal"""
2,2,1,3,1,,,,,,,,,,,,,1,public,"[V2] ""equal distribution - 10 each. Agreed?""
[V1] ""ok"""
2,3,1,1,1,,,,,,,,,,,,,1,p-v1,"[V1] ""u take 15""
[V1] ""give me 14 or 12 ""
[P] ""ill give you 12""
[V1] ""ok"""
2,3,1,3,1,,,,,,,,,,,,,1,public,"[V2] ""hola""
[V2] ""whats the plan"""
2,4,1,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""14 for you 16 for me?"""
2,4,1,2,1,,,,,,,,,,,,,1,p-v2,"[V2] ""u take15 or 18""
[V2] ""give me 12""
[P] ""alright"""
2,5,1,1,1,,,,,,,,,,,,,1,p-v1,"[P] ""offer?""
[V1] ""how about 15/5/10?"""
2,5,1,2,1,,,,,,,,,,,,,1,p-v2,"[P] ""offer?""
[V2] ""0/13/17""
[P] ""0 12 18?""
[V2] ""lol""
[P] ""other person has the same offer lol""
[V2] ""sure""
[P] ""ok"""
2,5,1,3,1,,,,,,,,,,,,,1,public,"[V1] ""10 each?"""
2,6,1,1,1,,,,,,,,,,,,,2,p-v1,"[V1] ""17 and 13?""
[P] ""I have offer for 22 and 8""
[P] ""will you take 7?""
[P] ""?"""
2,6,1,1,2,,,,,,,,,,,,,2,p-v1,"[V1] ""hey""
[V1] ""20, 10?"""
2,6,1,2,1,,,,,,,,,,,,,2,p-v2,"[P] ""22 and 8?""
[P] ""?""
[V2] ""10 each or no go"""
2,6,1,2,2,,,,,,,,,,,,,2,p-v2,"[V2] ""17 and 13?"""
2,6,1,3,1,,,,,,,,,,,,,2,public,"[V2] ""Split equally?""
[V1] ""Split"""
